coffee-machine,kettle,dishwasher,washing-machine,clothes-dryer,fridge,freezer,air-conditioner,microwave,vacuum-cleaner,computer-tablet,computer-desktop,computer-accessory,computer-laptop,computer-auto,printer,telecom,telecom-mobile,remote-control,portable-audio-video,speaker,hi-fi,musical-instrument,set-top-box,camera,flatpanel-screen,lighting,power-tool,lawnmower,garden-machine,shredder,gaming-console,sport-exercise,gaming-portable,sewing-machine,projector,toaster,watch-clock,hairdryer,charger-adapter,headphone,iron,food-processor,small-kitchen,small-domestic,heater,personal-grooming,personal-hygiene,personal-medical,toy
c[àa][f]+[eéè]ti[eéè]re,\burn,spülmaschine,washing,dryer,refrigerator,freez,humidi([a-zß-ÿœ]+),mi[ck]ro[- ]?(wave|ondes?|golf(oven)?|welle|bølgeovn|ove?n|goloven),va[cx](uum)?,i[- ]?pad,desktop,[ck][a]+r(d|te?),lap[ -]?top,sat[ -]?nav,printer,t[eé]l[eé](ph|f)oo?ne?,mobile,afstandsbediening,radio,speakers?,anlage,[ck]lav(ier|iatur),[ck]ontro[l]+(ed?u?r?)?,[ck]amera,\btv,lampe?,[ck]ompressor,mower,blattgebläse,papi?er,x[- ]?box,bi(ke|cy),game[ -]?boy,s[eo]wing,proje[ck]t[oe]r,to[oa]steu?r,watch,dr[yi]er,a[ck]+u,air[ -]?pods?,\biron,blender,((([àa]|de) )?cuis(eur|ine)),agrafeuse,heater,(ped|man)i[ck][uü]re?,brosse ([àa]? )?dents,thermom[eè](er|tre),\bours\b
[ck][oaà]+[f]+i?[eéè]+([a-zß-ÿœ]+)?,boiler,dishwasher,wasmachine,tumble,kühlschrank,ice,[ck]lima([a-zß-ÿœ]+),magnetron,aspirateur,tablet,\bpc,adapt[eo]u?r,book|livre,gps|gsm|pda|nuvi,sc[aá][n]+er,answer,([a-zß-ÿœ]+[ -]?)?(phone|fon),fernbedienung,transistor,spi?eler,boom[ -]?box,clavier,vhs,[pf]h?oto,t[eé]l[eé]vis(ion|eur),leuchte,blazer,grasmaaier,blower,sc?hredder(er)?,play[- ]?station,exercise,video[- ]?(game|sp[ie]+l),n[äa][äah]i?ma[cs]+hine,viewer,([aà] )?pain,[ck]loc?k,föh?n,adapt[eo]u?r,casque,([àa] )?(repasser|vapeur),proce[s]+(o|eu?)r,\bfer\b,anrufbeantworter,chauffage,[ck]osmeti[ck],dent(s|al),blood,afstandsbediening
mas?chine (d?[àa]? ?)c[àa][f]+[eéè],bouilloire,vaatwasser,waschmaschine,wasdroger,fridge,ijsblokjes?,purifi([a-zß-ÿœ]+),,kruimeldief,hudl,computer,audio,bærbar,satellite,[pf]h?oto,landline,fon[a-zß-ÿœ]+,télécommande,cd|dvd,spre[kc]h?ers?,cent[er][er],drums?,bioscoop,[ck]am[ -]?[ck]order,monitor,\bled\b,bohren,rasenmäher,clipper,aktenvernichter,sp[e]+l[- ]?station,fiets,sega,machine ([àa] )?coudre,slide,br[øo]+[tdb]r[ioö]+st?er,timer?,ha[ai]r,batter(y|i[ej]?),ear[ -]?(buds?|plugs?),(bügel|plätt)eisen,mix(eu?r)?,\bmes\b,b[aé]b[yé],verwarming,[eé]pilat[eo]u?r,dusche,ultrasound,auto
per[ck]olat[a-zß-ÿœ]+,chaudière,afwasmachine,lave[- ]?linge,wäschetrockner,koelkast,eiswürfel,conditioner,,carpet,kindle,to[wu]e?r\b,blue?[ -]?tooth,(note|think|idea)pad,navigat[oei]+,jet\b,,handy,remote,dis[ck][ -]?man,woofer,center,gu?it[a]+[r]+e?,blue?[ -]?ray,re[ck]order,screen,blitz,boor,tondeuse( [aà] gazon)?,(hæk|hægge|kant)klipper,mar?kulator,wii\b,fitness,switch,de cucire,carou[s]+el,,montre,droger,brancher,head[- ]?(phones?|set),strij?kijzer,ménager?,backautomat,blanket,,\bongle,floss(er)?,hearing,be[ea]r
n?e[sx]+pre[s]+o,ke(tt|ss)(le|el),geschirrspüler,machine à laver,sèche[- ]?linge,frigo,glaçons,aircon,,i?robot,e[ -]?(book|reader),,boa?rd,computer,tom[ -]?tom,fax,,,control,i[ -]?pod,sound[ -?]bar,cha[îi]ne,keyboard,boîte,video,display,candle,brecher,flymo,cutter,déchiqueteuse,nintendo,golf[- ]?(cart|buggy|vogn),nintendo,da coser,beamer,,minute[a-zß-ÿœ]+,,c[aâ]ble,høre[- ]?(telefoner|bøffer),a? vapore,liquidiser,boiler,couverture,,\boral,hygiene,,car\b
senseo,samovar,lave[- ]?vaisselle,,tørretumpler,,,(be|ont?)vochtiger,,roomba,\bfire,,cd[ -]?(rom)?,,dash[- ]?cam,drucker,,,,mp[- ]?(3|4),barre de son,de[sc]k,musi[ckqz](ue|al|iek)?,chrome[ -]?cast,(digi|hand[yi])[- ]?[ck]am,fernseher,chandelier,broyeur,plæneklipper,débrousailleuse,,sega,laufband,,overlock(er|ing)?,,,horloge,,chargeu?r,kopfhörer,fer(ro)?,maker,cooker,d[eé]tect[eo]u?r,,\bpied,ir+igat[eo]r,,doll
mo[chk]+(a|ona),teasmade,,,,,,l[uü](ch|f)t([a-zß-ÿœ]+),,tapis,amazon,,chargeu?r,,autodisplay,[ck]opier(er)?,,,,walk[ -]?man,,juke[ -]?box,piano,cin[eé]ma,polaroid,sch[ei]rm,christmas,cloueuse,græsslåmaskine,garten[a-zß-ÿœ]+,,video[- ]?game,rowing,,tagliacuci,,,we[ck]+er,,extension,ohrstöpsel,(de)? vapo,presse?,cr[ée]pe?(i[èe]re|[èe])?,dampf,,bigoudis,körperpflege,,drone
[ck]a[p]+u[c]+ino,wasserkocher,,,,,,ventilat([a-zß-ÿœ]+),,hoover,ebogslæser,,conduire,,,imprimante,,,,diabetrachter,,multimedia,s[yi]nth([eé][st]i[sz]eu?r)?,d[eé]codeu?r,camescope,écran,éclair[a-zß-ÿœ]+,coupe,grasmachine,haie,,video[- ]?sp[ie]+l,scooter,,remalladora,,,orologio,,kabel,,plancha,smoothie,croque,deken,,cheveux,tandenborstel,,eisenbahn
ta[s]+i[m]+o,,,,,,,extract([a-zß-ÿœ]+),,h(enr(y|ietta)),,,conférencier,,,(tryk|kopi)maskine,,,,[ck]assette,,stereo,schlagzeug?,doos,,(flad[- ]?)?skærm,fakkel,drehbank,,s?trimmer,,[ck]onsol[ea],h(ome|eim)[- ]?trainer,,surjet,,,reloj,,mehrfachsteckdose,,stryge?,mühle,cutter,deurbel,,clippers?,tooth(brush)?,,en chantant
