sentence,language
All seems OK,en
not threading correcting,en
repositioned the fan on the shaft,en
Customer to return next time,en
Laminator - overheating,en
HS electronics,en
No function- new (!),en
Unable to test as no battery,en
Bad Switch or Speed Control,en
He then wants to do that at home,en
Faulty connector for bulb,en
"unsolder lamp, replace",en
Light not working,en
Display could be replaced,en
New element needed,en
on/off switch faulty,en
hose cleaned,en
stop working,en
Potentiometer cleaned,en
Broken wires resoldered,en
brush or charger cannot be opened,en
Rotating part defective,en
Cable broken at plug,en
This month it found a new home,en
A used one is bought via ebay,en
Unrepairable - fault undetected,en
not removable,en
Probably cable break,en
Transformer broken,en
Powerswitch broken,en
Not opening (unable to repair),en
"does not burn, loose contact",en
Switch-off sensor defective,en
Water runs into collection tank,en
Wire broken in two places,en
Converter box,en
Delete user accounts,en
plug needed to be replaced,en
Interruptions in operation,en
detached steering wheel,en
On and off button defective,en
Need suitable belts,en
Sew on the dog's ear,en
explained of drain issues,en
HDD failure,en
keeps showing blue screen,en
doesn't turn lubricate,en
Device is not yet available,en
Special belt needed,en
Cable externally defective,en
Unit not turn on,en
def- Error could not be localized,en
Thermal fuse had burned out,en
clean the filter,en
Steamer,en
Battery and sound poor,en
couldn't trace down the overload,en
Will not stay down and blows fuse,en
CD would not work,en
Hand mixer only possible on turbo,en
CD jammed,en
also no longer functioned,en
plug was loose,en
Soldered the connection,en
Owner will retest at his home,en
Not sure spare will be available,en
filters very dirty,en
Spare controller needed replacing,en
Solder joint and wire broken,en
Lfz.114: On/off switch defective,en
Agitator does not work,en
cleaned everything,en
BRass floor lamp,en
Fuse dead,en
Cassette does not play,en
cut lead,en
detached part to be reattached,en
New card needed,en
It allegedly refused to work,en
Motor defective (current is there,en
Hands no longer turn,en
Display cable to replace,en
Fuse was blown,en
Drill - No power - Motor broken,en
on-off button no longer works,en
Bakelite lights,en
Fan motor was loose,en
Winding mechanism broken,en
Clock in radio defective,en
tank float to be replaced,en
No brake on cord,en
Can't connect to public Wi,en
Needs new battery; advice given,en
CMOS battery low,en
hanlde broken in half,en
Brush worn out,en
resistance to change,en
More functional buttons,en
Battery tested ok,en
Hammer Drill doesn't work,en
See the paper form,en
Complete cleaning,en
motor to be reassembled,en
Bad connection in power socket,en
Parts loose,en
Patina,en
Failed Linux install,en
Connection to base is broken,en
Pendulum adjusted,en
Cleaned and unblocked the nozzle,en
D. replaced == goes again,en
Used for parts to repair item 14,en
More time needed,en
mechanical noises,en
Plug broken out,en
replaced with spare,en
Corroded battery connection,en
Poor switch contact,en
Man necessary,en
Sticky bi-metallic strip,en
Cannot adjust power levels,en
"Cable through, re-solder",en
Connector loose,en
Glued and fixed,en
went smelly,en
Fixed - new cord,en
Advised to order a new regulator,en
Chord broken/exposed,en
Motor required WD40 lubrication,en
Old Os,en
plug renewed,en
up/down doesn not work,en
coil burnt out,en
Intermittent failed audio output,en
Water tank changed,en
Moved some data,en
Missing solder,en
It did its job only rarely,en
"CD is not recognised, DVDschon",en
Removed covers,en
On and off switch makes problems,en
Cord agitated,en
Connector re-soldered,en
Fixed with change of plug,en
Reattach style,en
Plastic mechanism worn out,en
Hi,en
Sony amp: cleaning the contacts,en
Electronics faulty,en
electronic part to be replaced,en
New battery installed,en
showed no picture,en
Reinforced and glued together,en
Cause: V-belt has jumped off,en
Descaled and working well now,en
Dismantled and cleaned,en
"Mixing desk, faulty channel",en
no lubrication,en
The heating blew out the fuses,en
Owner to source for future event,en
"NOT FIXED, MAY BE REPAIRABLE",en
cannot be repaired,en
Unit scrapped after,en
Connection repaired,en
battery out of order,en
Cell to be tested,en
The blades wouldn't hold,en
Cleaning done,en
Wi,en
Adjustment and new antenna,en
Partially fixed,en
Restored in place,en
Couldn't find any problem to fix,en
"Broken Pump, does not heat",en
Probably the Batteries,en
"cassette player not working, ?",en
Clogged circuit,en
possible virus / HD issue,en
Retracts sheets,en
LOST,en
Won't switch on,en
Outside skills of repairers,en
Old drive is scrapped,en
Video tutorial guidance,en
"Partially fixed, advice given",en
Lead not staying out,en
Wont charge,en
explanation instructions for use,en
No longer reacts,en
Socket cannot be replaced,en
We have done so,en
The hoover stinks,en
Blower safety device broken,en
Toast handle does not stay down,en
Needle guide defective,en
New switch required,en
Spark plug problem and descaling,en
Will be presented elsewhere,en
The water does not flow,en
improved pressure,en
Charging base out of order,en
Locked switch,en
No contact on battery,en
Blunt blades Sharpened the blades,en
Noisy volume control,en
does not rotate,en
Wouldn't switch on & off,en
Crackly when turning volume up,en
defective signal,en
Does not start Motor shaft broken,en
steam does not always come out,en
Failed power supply,en
Was adjusted and installed,en
Problem with bobbing case fitting,en
