product_category,product
Aircon/dehumidifier,Air conditioner
Aircon/dehumidifier,Air freshener / Air purifier
Aircon/dehumidifier,Aircon/dehumidifier
Aircon/dehumidifier,Centrale vapeur
Aircon/dehumidifier,Dehumidifer
Aircon/dehumidifier,Dehumidifier
Aircon/dehumidifier,Heater
Aircon/dehumidifier,Humidifier
Aircon/dehumidifier,Luftbefeuchter
Aircon/dehumidifier,Luftentfeuchter
Battery/charger/adapter,"Akku, mechanisch"
Battery/charger/adapter,Autobatterie-Ladegerät
Battery/charger/adapter,Battery
Battery/charger/adapter,Battery charger
Battery/charger/adapter,Bicycle battery
Battery/charger/adapter,Cable
Battery/charger/adapter,Charger
Battery/charger/adapter,Charger (battery / power supply)
Battery/charger/adapter,Chargeur de batterie
Battery/charger/adapter,Chauffage électrique
Battery/charger/adapter,Chauffage électrique d’appoint
Battery/charger/adapter,Extension Cable
Battery/charger/adapter,Extension cord
Battery/charger/adapter,Extension lead
Battery/charger/adapter,Funksteckdose
Battery/charger/adapter,Ladegerät
Battery/charger/adapter,multiprise
Battery/charger/adapter,Netzteil
Battery/charger/adapter,Plug
Battery/charger/adapter,Power extension
Battery/charger/adapter,Power supply
Battery/charger/adapter,Powerbank
Battery/charger/adapter,Socket / power strip
Battery/charger/adapter,Transformer
Coffee maker,cafetière électrique
Coffee maker,Coffee machine
Coffee maker,Coffee maker
Coffee maker,Espresso maker
Coffee maker,Espressokocher
Coffee maker,Kaffeemaschine
Coffee maker,Kaffeevollautomat
Coffee maker,Machine à café
Coffee maker,Pad-/Kapsel-Kaffeemaschine
Coffee maker,Percolateur
Decorative or safety lights,Beleuchtung
Decorative or safety lights,Bicycle light
Decorative or safety lights,Bike Light
Decorative or safety lights,Christmas decoration
Decorative or safety lights,Christmas lights
Decorative or safety lights,Decorative or safety lights
Decorative or safety lights,Fairy lights
Decorative or safety lights,Flashlight / electric torch
Decorative or safety lights,Guirlande lumineuse
Decorative or safety lights,Lamp
Decorative or safety lights,LED lamp
Decorative or safety lights,LED-Licht/LED-Leuchte
Decorative or safety lights,Lichterkette
Decorative or safety lights,light
Decorative or safety lights,Lights
Decorative or safety lights,Solar light
Decorative or safety lights,Taschenlampe
Decorative or safety lights,Torch
Desktop computer,Computer
Desktop computer,Desktop
Desktop computer,Desktop computer
Desktop computer,Desktopcomputer
Digital compact camera,Camera
Digital compact camera,Digital compact camera
Digital compact camera,Digitalkamera
Digital compact camera,Photo camera
DSLR/video camera,DSLR/video camera
DSLR/video camera,Video camera
DSLR/video camera,Video player/recorder
DSLR/video camera,Video/DVD player/recorder
DSLR/video camera,Videokamera
DSLR/video camera,Videorekorder
Fan,Fan
Fan,Lüfter
Fan,Ventilator
Flat screen,Bildschirm
Flat screen,Display
Flat screen,Display / monitor
Flat screen,Fernseher
Flat screen,"Flat screen 15-17"""
Flat screen,"Flat screen 19-20"""
Flat screen,"Flat screen 22-24"""
Flat screen,"Flat screen 26-30"""
Flat screen,"Flat screen 32-37"""
Flat screen,TV
Flat screen,Télévision
Food processor,Blender
Food processor,Coffee grinder
Food processor,Entsafter
Food processor,Food mixer
Food processor,Food Processor
Food processor,Food processor
Food processor,Grinder
Food processor,Hand Blender
Food processor,Handmixer
Food processor,Handrührgerät
Food processor,Juice extractor
Food processor,Juicer
Food processor,Kaffeemühle
Food processor,Kitchen mixer
Food processor,Küchenmaschine
Food processor,Mix soupe
Food processor,Mixer
Food processor,Mixer électrique
Food processor,Mixer/blender
Food processor,Mixeur
Food processor,Mixeur plongeur
Food processor,Moulin à café
Food processor,Presse fruit
Food processor,robot cuisine
Food processor,Robot melangeur
Food processor,Robot Ménager
Food processor,Soup maker
Food processor,Stabmixer / Pürierstab
Food processor,Standmixer
Food processor,Stick blender
Food processor,Stick mixer
Food processor,Stick mixer / Hand blender
Games console,Game console
Games console,Games console
Games console,Playstation
Games console,Spielkonsole
Games console,Wii
Hair & beauty item,Beard trimmer
Hair & beauty item,Blood pressure monitor
Hair & beauty item,Clipper/trimmer
Hair & beauty item,Curler set
Hair & beauty item,Curling iron
Hair & beauty item,Electric hairbrush
Hair & beauty item,Electric toothbrush
Hair & beauty item,Elektrorasierer
Hair & beauty item,Epilator
Hair & beauty item,Foot massage machine
Hair & beauty item,Footbath
Hair & beauty item,Glätteisen
Hair & beauty item,Haarschneidemaschine
Hair & beauty item,Hair & beauty item
Hair & beauty item,Hair clippers
Hair & beauty item,Hair removal system
Hair & beauty item,Hair straightener
Hair & beauty item,Hair straighteners
Hair & beauty item,Hair styler
Hair & beauty item,Kosmetikgerät
Hair & beauty item,Körperpflege
Hair & beauty item,Ladyshave
Hair & beauty item,Lisseur
Hair & beauty item,Lockenstab
Hair & beauty item,Make-up mirror
Hair & beauty item,Massage equipment
Hair & beauty item,Massagegerät
Hair & beauty item,Massager
Hair & beauty item,Munddusche
Hair & beauty item,Nail care
Hair & beauty item,Oral shower
Hair & beauty item,Pedicure appliance
Hair & beauty item,Rasoir
Hair & beauty item,Rasoir électrique
Hair & beauty item,Shaver
Hair & beauty item,tondeuse cheveux
Hair & beauty item,Toothbrush
Hair & beauty item,Water flosser
Hair & beauty item,"Zahnbürste, elektrisch"
Hair dryer,Föhn
Hair dryer,Fön
Hair dryer,Hair dryer
Hair dryer,Hairdryer
Hair dryer,sechecheveux
Hair dryer,sèche cheveux
Hair dryer,sèche-cheveux
Handheld entertainment device,Cassette player
Handheld entertainment device,CD-Player
Handheld entertainment device,Diabetrachter
Handheld entertainment device,Discman
Handheld entertainment device,Drone
Handheld entertainment device,DVD/CD player
Handheld entertainment device,Gameboy
Handheld entertainment device,Games console
Handheld entertainment device,Handheld entertainment device
Handheld entertainment device,iPod
Handheld entertainment device,MP3 CD player
Handheld entertainment device,MP3 player
Handheld entertainment device,Mp3-Player
Handheld entertainment device,Recorder
Handheld entertainment device,Speaker
Handheld entertainment device,Walkman
Headphones,casque audio
Headphones,Earbuds
Headphones,Headphones
Headphones,Headset
Headphones,Kopfhörer
Hi-Fi integrated,Baffle
Hi-Fi integrated,Bluetooth Musik Box
Hi-Fi integrated,Cassette player
Hi-Fi integrated,CD player
Hi-Fi integrated,CD/radio player
Hi-Fi integrated,Chaine Hi Fi
Hi-Fi integrated,Chaîne Hi-Fi compacte
Hi-Fi integrated,chaîne HIfi
Hi-Fi integrated,Hi-Fi integrated
Hi-Fi integrated,Hi-fi system
Hi-Fi integrated,HiFi-Musik-Anlage
Hi-Fi integrated,Home stereo
Hi-Fi integrated,mini hifi
Hi-Fi integrated,Mini stereo
Hi-Fi integrated,Music centre
Hi-Fi integrated,Portable stereo
Hi-Fi integrated,Radio/cassette player
Hi-Fi integrated,Radio/CD player
Hi-Fi integrated,Radio/CD/cassette player
Hi-Fi integrated,Record player
Hi-Fi integrated,Stereo
Hi-Fi integrated,Stereoanlage
Hi-Fi integrated,Stereoset
Hi-Fi integrated,Stereoset / music centre
Hi-Fi integrated,Turntable
Hi-Fi integrated,Walkman
Hi-Fi separates,Ampli
Hi-Fi separates,amplificateur HIFI
Hi-Fi separates,Amplifier
Hi-Fi separates,Baffle
Hi-Fi separates,Blu Ray Player
Hi-Fi separates,Bluetooth speaker
Hi-Fi separates,Cassette deck
Hi-Fi separates,Cassette player
Hi-Fi separates,Cassette player / recorder
Hi-Fi separates,Cassette player/recorder
Hi-Fi separates,Cd / dvd player
Hi-Fi separates,CD player
Hi-Fi separates,CD player / recorder
Hi-Fi separates,CD player/recorder
Hi-Fi separates,CD/Cassette player
Hi-Fi separates,CD/cassette player
Hi-Fi separates,Cd/dvd player
Hi-Fi separates,DVD / CD / radio player
Hi-Fi separates,Dvd / cd player
Hi-Fi separates,Dvd / video player
Hi-Fi separates,DVD Player
Hi-Fi separates,DVD player/recorder
Hi-Fi separates,DVD/CD player
Hi-Fi separates,Dvd/cd player
Hi-Fi separates,DVD/CD/radio player
Hi-Fi separates,Dvd/video player
Hi-Fi separates,Hi-Fi separates
Hi-Fi separates,Kassettenrekorder
Hi-Fi separates,Lautsprecher(boxen)
Hi-Fi separates,lecteur cassette
Hi-Fi separates,lecteur cassette audio
Hi-Fi separates,lecteur CD
Hi-Fi separates,Mischpult
Hi-Fi separates,Plattenspieler
Hi-Fi separates,Radio / CD / cassette player
Hi-Fi separates,Radio / CD player
Hi-Fi separates,Radio/amplifier
Hi-Fi separates,Radio/CD player
Hi-Fi separates,Receiver
Hi-Fi separates,Record player
Hi-Fi separates,Sound mixer
Hi-Fi separates,Soundbar
Hi-Fi separates,Speaker
Hi-Fi separates,Spulentonbandgerät
Hi-Fi separates,Stereo
Hi-Fi separates,Tape recorder
Hi-Fi separates,Tourne disque
Hi-Fi separates,Tuner
Hi-Fi separates,Tuner / amplifier / cassette deck
Hi-Fi separates,Tuner / amplifier / CD player
Hi-Fi separates,Tuner / CD player
Hi-Fi separates,Tuner/amplifier
Hi-Fi separates,Tuner/amplifier/cassette deck
Hi-Fi separates,Tuner/amplifier/CD player
Hi-Fi separates,Tuner/amplifier/receiver
Hi-Fi separates,Tuner/CD player
Hi-Fi separates,Turntable
Hi-Fi separates,Turntable / record player
Hi-Fi separates,Turntable/ record player
Hi-Fi separates,Verstärker
Iron,Bügeleisen
Iron,Centrale vapeur
Iron,Centrale à vapeur
Iron,Fer à repasser
Iron,fer à repasser à vapeur
Iron,Iron
Iron,plancha
Iron,Steam iron / Steam ironing station
Kettle,Electric kettle
Kettle,Kettle
Kettle,Wasserkocher
Lamp,Bicycle lighting
Lamp,Ceiling lamp
Lamp,Desk lamp
Lamp,Floor lamp
Lamp,Lamp
Lamp,Lamp / lighting
Lamp,Lamp/lighting
Lamp,Lampe
Lamp,Magnifier with light
Lamp,Night light
Lamp,Outdoor lamp
Lamp,Reading light
Lamp,Solar lamp
Lamp,Stehleuchte
Lamp,Table lamp
Lamp,Tischlampe
Laptop,Laptop
Laptop,Laptop large
Laptop,Laptop medium
Laptop,Laptop small
Large home electrical,Carpet cleaner
Large home electrical,E-bike
Large home electrical,Edge cutter
Large home electrical,Electric bed
Large home electrical,Electric bike
Large home electrical,Electric lawnmower
Large home electrical,Extractor hood
Large home electrical,Fitness machine
Large home electrical,Fridge
Large home electrical,Kühlschrank
Large home electrical,Lawn edge cutter
Large home electrical,Lawn Mower
Large home electrical,Lawn mower / lawn raker
Large home electrical,Lawnmower
Large home electrical,Microwave
Large home electrical,Microwave oven
Large home electrical,Mikrowelle
