Decorative or safety lights,Hair & beauty item,Handheld entertainment device,Hi-Fi integrated,Hi-Fi separates,Large home electrical,Musical instrument,PC accessory,Power tool,Small kitchen item,Toy,TV and gaming-related accessories,Small home electrical,Battery/charger/adapter,Aircon/dehumidifier,Digital compact camera,Coffee maker,Desktop computer,DSLR/video camera,Fan,Flat screen,Games console,Headphones,Iron,Kettle,Lamp,Laptop,Mobile,Paper shredder,Portable radio,Printer/scanner,Projector,Sewing machine,Tablet,Toaster,Vacuum,Watch/clock,Hair dryer,Food processor
\bled\b,(ped|man)i[ck][uü]re?,[ck]assette,anlage,[ck]assette,(e-?)?(bike|fiets),[ck]lav(ier|iatur),[ck][a]+r(d|te?),[ck]ompressor,((([àa]|de) )?cuis(eur|ine)),\bours\b,[ck]ontro[l]+(ed?u?r?)?,agrafeuse,a[ck]+u,(d[ée]s?)?humidi([a-zß-ÿœ]+),[ck]amera,c[àa][f]+[eéè]ti[eéè]re,desktop,[ck]amera,\bfan,\btv,x-?box,phones?,\biron,ket(tle|el),lampe?,laptop,mobile,papi?er,radio,printer,proje[ck]tor,s[eo]wing,tablet,to[oa]ster,va[cx](uum)?,watch,dr[yi]er,blender
blitz,[ck]osmeti[ck],anlage,boom[ -]?box,amplifi(er|cateur),dryer,clavier,adapt[eo]u?r,blattgebläse,\bfer\b,afstandsbediening,barre de son,anrufbeantworter,adapt[eo]u?r,[ck]lima([a-zß-ÿœ]+),[pf]h?oto,[ck][oaà]+[f]+i?[eéè]+([a-zß-ÿœ]+)?,\bpc,[ck]am[ -]?[ck]order,ventilat([a-zß-ÿœ]+),television,\bps ?[\d],ear[ -]?(buds?|plugs?),([àa] )?vapeur,boiler,leuchte,book,i?[- ]?phone,sc?hredder(er)?,transistor,sc[aá][n]+er,viewer,n[äa][äah]i?ma[cs]+hine,i-?pad,([aà] )?pain,aspirateur,[ck]loc?k,föh?n,proce[s]+(o|eu?)r
candle,[eé]pilat[eo]u?r,bluetooth,cent[er][er],band,flymo,drums?,audio,blazer,\bmes\b,auto,bioscoop,b[aé]b[yé],batter(y|ie),purifi([a-zß-ÿœ]+),,mas?chine (d?[àa]? ?)c[àa][f]+[eéè],computer,re[ck]order,l[üu]fter,monitor,play ?station,air[ -]?pods?,([àa] )repasser,bouilloire,,livre,fon[a-zß-ÿœ]+,aktenvernichter,,[pf]h?oto,slide,machine ([àa] )?coudre,kindle,broodrooster,kruimeldief,timer?,ha[ai]r,mix(eu?r)?
chandelier,\bongle,cd,center,de[sc]k,four,gu?it[a]+[r]+e?,blue?[ -]?tooth,blower,backautomat,be[ea]r,blue?[ -]?ray,blanket,brancher,conditioner,,percolat[a-zß-ÿœ]+,to[wu]e?r\b,video,,screen,sp[e]+l ?station,headset,bügeleisen,teasmade,,,handy,,,jet\b,carouss?el,de cucire,e[ -]?(book|reader),,carpet,montre,droger,ménager?
christmas,\boral,controller,cha[îi]ne,destinataire,fridge,keyboard,boa?rd,bohren,blender,car\b,boîte,chauffage,c[aâ]ble,aircon,,n?e[sx]+pre[s]+o,,,,display,wii\b,casque,plätteisen,\burn,,,telefon,,,fax,beamer,da coser,\bfire,,i?robot,minute[a-zß-ÿœ]+,,liquidiser
éclair[a-zß-ÿœ]+,\bpied,diabetrachter,de[sc]k,dj,golf,musi[ckqz](ue|al|iek)?,cd[ -]?(rom)?,boor,boiler,doll,chrome[ -]?cast,couverture,chargeu?r,(be|ont?)vochtiger,,senseo,,,,fernseher,nintendo,kopfhörer,strij?kijzer,samovar,,,,,,drucker,,overlock(er|ing)?,sat[ -]?nav,,roomba,horloge,,maker
fakkel,bigoudis,dis[ck][ -]?man,juke[ -]?box,draaibaar,grass?,piano,chargeu?r,brecher,chopper,drone,cin[eé]ma,d[eé]tect[eo]u?r,extension,l[uü](ch|f)t([a-zß-ÿœ]+),,mo[c]+ona,,,,sch[ei]rm,sega,ohrstöpsel,(a )? vapore,chaudière,,,,,,[ck]opier(er)?,,tagliacuci,gps,,tapis,we[ck]+er,,mixer
feu,brosse ([àa]? )?dents,dvd,multimedia,drehscheibe,heizstrahler,s[yi]nth([eé][st]i[sz]eu?r)?,conduire,broyeur,cleaner,eisenbahn,d[eé]codeu?r,dampf,kabel,ventilat([a-zß-ÿœ]+),,,,,,,video ?game,,fer(ro)?,wasserkocher,,,,,,,,remalladora,satellite,,hoover,orologio,,mas?chine
lampe?,cheveux,game[ -]?boy,stereo,empfänger,kamin,schlagzeug?,conférencier,cleaner,cooker,en chantant,doos,deken,ladegerät,extract([a-zß-ÿœ]+),,,,,,,video ?sp[ie]+l,,(de)? vapo,kessel,,,,,,,,surjet,nuvi,,h(enr(y|ietta)),reloj,,presse?
lampes?( d[eé]s? )?,clippers?,i[ -]?pod,systee?m,enregistreu?r,kühl([a-zß-ÿœ]+)?,tambours?,conseil,clipper,cr[ée]pe?(i[èe]re|[èe])?,en parlant,drohne,deurbel,mehrfachsteckdose,zuiveraar,,,,,,,[ck]onsol[ea],,plancha,,,,,,,,,coudre,tom[ -]?tom,,d(irt|ust)[ -]?buster,mirar,,blender
