product_category,lang,regex
Decorative or safety lights,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(lampes?( d[eé]s? )?|li[cg]hts?|scheinwerfer|blitz|stoorts|phare|candle|torch|fakkel|chandelier|solar|lustrerie|\bled\b|feu|christmas|éclair[a-zß-ÿœ]+|lampe?|lumi[A-zÀ-ÿ]+|leucht(e|ung)|lant(aa|e)rn|lueur)([a-zß-ÿœ]{3,}[ -]?)?)"
Hair & beauty item,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(mirror|visage|pinces|s[éèe]ch(e|oir)|hygiene|fuß|iron|ir+igat[eo]r|tongs?|massager?|coiffeur|curl(ers?|ing)|lisseurs?|manikür|(ped|man)i[ck][uü]re?|clippers?|styleu?r?|shaver?|locken|scheer|zahnbürste|\boral|masseur|rasier(er)?|voet|[ck]osmeti[ck]|bigoudis|nail|tandenborstel|dent(s|al)|tooth(brush)?|foot|locken(stab)?|glätteisen|\bongle|n[aä]gel|ra[sz][eo]i?r|cheveux|water ?pick|tondeuse|kronkel|gesicht|epilierer|stimulator|straighteners?|trimmer?|brosse ([àa]? )?dents|dusche|körperpflege|fac(e|ial)|friser|mund |[eé]pilat[eo]u?r|floss(er)?|\bpied|knipper|krullend|ha[ia]r([a-zß-ÿœ]+)?|stijltang(en)?|personenwaage)([a-zß-ÿœ]{3,}[ -]?)?)"
Handheld entertainment device,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(dvd|mp3|player|speakers?|cd|taschenrechner|anlage|walk[ -]?man|dis[ck][ -]?man|recorder|game[ -]?boy|bluetooth|remote|i[ -]?pod|schrittzähler|switch|spre[kc]h?ers?|controller|diabetrachter|[ck]assette)([a-zß-ÿœ]{3,}[ -]?)?)"
Hi-Fi integrated,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(anlage|center|multimedia|stereo|boom[ -]?box|systee?m|cha[îi]ne|juke[ -]?box|cent[er][er]|de[sc]k)([a-zß-ÿœ]{3,}[ -]?)?)"
Hi-Fi separates,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(drehscheibe|ontvanger|mischpult|player|karaoke|speakers?|de[sc]k|verst[eäa]rker|enregistreu?r|woofer|tuner|empfänger|tieftöner|plattenspieler|haute[ -]?parleurs?|spi?eler|sound(bar)?|plaque tournante|re[ck]ord(er)?|plakband|amplifi(er|cateur)|turntable|draaibaar|spre[kc]h?ers?|dj|tape|joueur|receiver|destinataire|spulenton |band|[ck]assette)([a-zß-ÿœ]{3,}[ -]?)?)"
Large home electrical,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(maker|four|grass?|kühl([a-zß-ÿœ]+)?|mas?chine|ondes?|lawn|laufband|scooter|dryer|flymo|m[äa]+[hi]er|mi[ck]ro[ -]?(wave|ondes?|welle)|mower|spül|fridge|kamin|golf|ofen|w[aä]sche?([a-zß-ÿœ]+)?|(e-?)?(bike|fiets)|heizstrahler|tondeuse)([a-zß-ÿœ]{3,}[ -]?)?)"
Musical instrument,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(gu?it[a]+[r]+e?|toetsenbord|schlagzeug?|clavier|tambours?|piano|keyboard|[ck]lav(ier|iatur)|musi[ckqz](ue|al|iek)?|s[yi]nth([eé][st]i[sz]eu?r)?|drums?)([a-zß-ÿœ]{3,}[ -]?)?)"
PC accessory,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(conférencier|chargeu?r|dvd|schijf|diktiergerät|dis(que|[ck])( dur|ette)?|adapt[eo]u?r|hdd|moyeu|mikrofon|speakers?|usb|tastatur|re[ck]order|[ck][a]+r(d|te?)|audio|pavé tactile|souris|blue?[ -]?tooth|doneren|ssd|drijfveer|floppy|mouse|muis|routeu?r|festplatte|boa?rd|maus|oplader|conduire|mainboard|web[ -]?cam|middelpunt|modem|hub|dongle|leiterplatte|spre[kc]h?ers?|conseil|cd[ -]?(rom)?|track[ -]?pad|touch[ -]?pad|drive)([a-zß-ÿœ]{3,}[ -]?)?)"
Power tool,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(sprayer|broyeur|blattgebläse|grubber|saw|blower|coupe|pulv[ée]risateur|werkzeug|grind(er|ing)|druck|p[ou]mpe?|boor|lötkolben|mi(x|sch)er|sander|jet\b|driver|brecher|wandler|schaar|mas?chine|schleif[a-zß-ÿœ]+|kante|gun|mühle|molen|bohren|slicer|wechselrichter|rasentrimmer|schere|tournevis|sauger|reiniger|perceuse|schraub[a-zß-ÿœ]+|paint|sci[eé]|marteau|ha[m]+er|tampon|k[aä]rs?[sc]her|clipper|nettoyeur|sprüh|cleaner|hefter|tron[çc]o[n]+euse|laubbläser|säge|haie|multi|washer|laveuse|garten[a-zß-ÿœ]+|ponceuse|snijder|slijpschijf|pressure|oefening|hobel|souffleur|zaag|router|hecke|schroevendraaier|drehbank|m[eé]u?l[aeusngr]+|fräse|drill|s?trimmer|cloueuse|schweißer|pist[o]+le?t?|transformator|sah|zentrifuge|pinzette|cutter|shredder|dremel|schneide|blazer|débrousailleuse|[ck]ompressor)([a-zß-ÿœ]{3,}[ -]?)?)"
Small kitchen item,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(küchen|dörrgerät|klopper|croque|maker|sous[ -]?vide|weegschaal|d[ée]s/hydrat(o|eu)r|wok|four|melkopschuimer|o[vf]en|mas?chine|mousseur|whisk|reibe|mühle|wa[f]+(le|el)|\bfer\b|glaci[èe]re|lait|griddle|reis|gau[f]+r?ier|grinder|koch(er)?|((([àa]|de) )?cuis(eur|ine))|steamer|milchaufschäumer|cleaner|raclette|boiler|blender|process[eo]u?r|p[ou]mpe?|slicer|mill|grater?|jus|trancheuse|indu[ck]tion|moulin|patisserie|dampf|soupe?|wassersprudler|scales?|cutter|chopper|dörrautomat|frother|\bmes\b|k[o]+k|waage|mix(eu?r)?|robot|grille?|foamer|press|cr[ée]pe?(i[èe]re|[èe])?|zerkleinerer|ice[ -]?(cube)?|schneide|eier|pai?n|schäumer|backautomat|soda|f+r[yi](er|et|teuse|tte)|shre[d]+er|hob|pan\b|cooker)([a-zß-ÿœ]{3,}[ -]?)?)"
Toy,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(praat|drone|car\b|speelgoed|zweven|game|teddybär|en parlant|toy|afstandsbediening|spel|be[ea]r|jouet|tr[ae]in|robot(ic)?|ferngesteuertes|lo[ck]omotive|voiture|auto|remote control(led)?|doll|\bours\b|en chantant|télécommande|mu[sz]i[ck]([a]+l)?|spielzeug|hoverboard|reden|zang|pop|rc [a-zß-ÿœ]+|sing(en|ing)|talking|poupée|jeu|eisenbahn)([a-zß-ÿœ]{3,}[ -]?)?)"
TV and gaming-related accessories,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(kino|dvd|player|cin[eé]ma|speler|sound[ -?]bar|barre de son|chrome[ -]?cast|fernbedienung|d[eé]codeu?r|bioscoop|syst[èe]+me?|drohne|boîte|doos|th[eé][âa]t[er][re]|pvr|re[ck]ord(er)?|vcr|enregistreur|manette|[ck]ontro[l]+(ed?u?r?)?|magnétophone|roboter|vhs|blue?[ -]?ray|joueur|receiver|fire[ -]?stick)([a-zß-ÿœ]{3,}[ -]?)?)"
