product_category,unu_key,unu_id
Aircon/dehumidifier,Air Conditioners (household installed and portable),111
Battery/charger/adapter,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Decorative or safety lights,"Lamps (f.i. pocket, Christmas, excl. LED & incandescent)",501
Desktop computer,"Desktop PCs (excl. monitors, accessories)",302
Digital compact camera,"Cameras (f.i. camcorders, photo & digital still cameras)",406
DSLR/video camera,"Cameras (f.i. camcorders, photo & digital still cameras)",406
Fan,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Flat screen,"Flat Display Panel Monitors (LCD, LED)",309
Hair & beauty item,"Personal Care (f.i. tooth brushes, hair dryers, razors)",205
Handheld entertainment device,"Small Consumer Electronics (f.i. headphones, remote controls)",401
Headphones,"Small Consumer Electronics (f.i. headphones, remote controls)",401
Hi-Fi integrated,"Music Instruments, Radio, HiFi (incl. audio sets)",403
Hi-Fi separates,"Music Instruments, Radio, HiFi (incl. audio sets)",403
Kettle,"Hot Water (f.i. coffee, tea, water cookers)",203
Lamp,"Lamps (f.i. pocket, Christmas, excl. LED & incandescent)",501
Laptop,Laptops (incl. tablets),303
Large home electrical,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",601
Misc,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Mobile,"Mobile Phones (incl. smartphones, pagers)",306
Musical instrument,"Music Instruments, Radio, HiFi (incl. audio sets)",403
Paper shredder,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",601
PC accessory,"Small IT (f.i. routers, mice, keyboards, external drives & accessories)",301
Portable radio,"Music Instruments, Radio, HiFi (incl. audio sets)",403
Power tool,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",601
Printer/scanner,"Printers (f.i. scanners, multifunctionals, faxes)",304
Projector,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Sewing machine,"Household Tools (f.i. drills, saws, high pressure cleaners, lawn mowers)",601
Small home electrical,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Small kitchen item,"Food (f.i. toaster, grills, food processing, frying pans)",202
Tablet,Laptops (incl. tablets),303
Toaster,"Food (f.i. toaster, grills, food processing, frying pans)",202
Toy,"Toys (f.i. car racing sets, electric trains, music toys, biking computers)",701
TV and gaming-related accessories,"Small Consumer Electronics (f.i. headphones, remote controls)",401
Vacuum,Vacuum Cleaners (excl. professional),204
Watch/clock,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
Coffee maker,"Hot Water (f.i. coffee, tea, water cookers)",203
Food processor,"Food (f.i. toaster, grills, food processing, frying pans)",202
Games console,Game Consoles,702
Hair dryer,"Personal Care (f.i. tooth brushes, hair dryers, razors)",205
Iron,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",201
