air-conditioner,camera,charger-adapter,clothes-dryer,coffee-machine,computer-accessory,computer-auto,computer-desktop,computer-laptop,computer-tablet,dishwasher,flatpanel-screen,food-processor,freezer,fridge,gaming-console,gaming-portable,garden-machine,hairdryer,headphone,heater,hi-fi,iron,kettle,lawnmower,lighting,microwave,musical-instrument,personal-grooming,personal-hygiene,personal-medical,portable-audio-video,power-tool,printer,projector,remote-control,set-top-box,sewing-machine,shredder,small-domestic,small-kitchen,speaker,sport-exercise,steam-cleaner,telecom,telecom-mobile,toaster,toy,vacuum-cleaner,washing-machine,watch-clock
(be|ont?)vochtiger,(digi|hand[yi])[- ]?[ck]am,(trans|[oø]m)form(er|ateur|ator)?,dryer,(capsule|kapsel),(drive|schr?ijf),autodisplay,\bpc,(note|think|idea)pad,\bfire,afwasmachine,(flad[- ]?)?skærm,(ch|kl)opper,congélateur,cave,[ck]onsol[ea],game[ -]?boy,(hægge|kant)klipper,dr[yi]er,air[ -]?pods?,chauff(age|rettes?),[ck]a[s]+e[t]+e,([àa] )?(repasser|vapeur),\burn,flymo,\bled\b,magn[ée]tron,[ck]lavi?(er|atur),(ped|man)i[ck][uü]re?,bath,balance,(beat|boom|sound)[ -]?box,[ck]ompressor,(tryk|kopi)maskine,beamer,afstandsbediening,(vcr|vhs|dvd|pvr),bobbin,aktenvernichter,(blanket|tæppe|couverture),((([àa]|de) )?cuis(eur|ine)),baffle,bi(ke|cy),damprenser,answer,([a-zß-ÿœ]+[ -]?)?(phone|fon),([aà] )?pain,(be[ea]r|\bours\b|bär),aspirateur,[vw][aä]s(che?|ke)?(mas?(k|ch)ine|mangel),(minut|køkken|digital|skibs)ur
(d[ée]s?)?ionis([a-zß-ÿœ]+),[ck]am[ -]?[ck]order,a[ck]+u,sèche[- ]?linge,[ck][oaà]+[f]+i?[eéè]+([a-zß-ÿœ]+)?,(hdd?|ssd|dvd|usb|hub),dash[- ]?cam,computer,bærbar,amazon,dishwasher,\btv,(mill|moulin|m[uü]hle),eiswürfel,fridge,nintendo,nintendo,(hedge|hæk|haie),droger,casque,heate[rd],ampli(f[iy](er|cateur))?,(bügel|plätt)(eisen|station),boiler,græsslåmaskine,blitz,mi[ck]ro[- ]?(wave|ondes?|golf(oven)?|welle|bølgeovn|ove?n|goloven),drums?,[ck]osmeti[ck],brosse ([àa]? )?dents?,bl[o]+e?d,[ck]a[s]+e[t]+e?,[wv]ind(ow|ue),[ck]opier(er)?,carou[s]+el,control,[ck]ontro[l]+(ed?u?r?)?,coudre,déchiqueteuse,([ck]at|dog|pet|bird),(food|feed(er)?),barre de son,cy(cle|kel),steam[- ]?(cleaner|mop),handset,fon[a-zß-ÿœ]+,br[øo]+[tdb]r[ioö]+st?er,(chant|parl)ant,carpet,lave[- ]?linge,[ck]loc?k
[ck]lima([a-zß-ÿœ]+),[ck]amera,adapt[eo]u?r,tørre(tumpler|maskine)?,[ck]a[p]+u[c]+ino,(mouse|maus|muis|souris),gps|gsm|pda|nuvi,desktop,book|livre,e[ -]?(book|reader),geschirrspüler,display,(wh|p)isk(er)?,freez,frigo,play[- ]?station,sega,blattgebläse,f[öø]h?n(tørrer)?,ear[ -]?(buds?|plugs?),kamin,anlage,(de)? vapo,boui?ll(oire|i?otte),grasmaaier,candle,,gu?it[a]+[r]+e?,[eé]pilat[eo]u?r,dent(s|al),circulation,bluetooth,bench,[pf]h?oto,dias,fernbedienung,bioscoop,da coser,mar?kulator,\bfan\b,[wv]a[f]+(le|el),enceinte,exercise,,landline,handy,to[oa]steu?r,(doll|dukke),d(irt|ust)[ -]?(devil|buster),machine à laver,alarm
affugter,[pf]h?oto,batter(y|i[ej]?),tumble,c[àa][f]+[eéè]ti[eéè]re,(track|touch)[ -]?pad,navigat[oei]+,to[wu]e?r\b,computer,ebogslæser,lave[- ]?vaisselle,écran,batteur,glaçons,koel,ps[- ]?[1-9],switch,blower,ha[ai]r,head[- ]?(phones?|set),radia[t]+[oe]u?r,b[aå]nd,(glatte|flad|goderåd)[- ]?jern,chaudière,grasmachine,chandelier,,keyboard,\bongle,dusche,d[ie]sinfe[ck]t,cd|dvd,blazer,drucker,lysbilled,fj?ern[- ]?betj[ea][n]+?i?ng,blue?[ -]?ray,de cucire,papi?er,agrafeuse,\bfer\b,hø[jh][t]+aler,fiets,,répondeur,mobile?,,(sing(en)?|talk)ing,d[iy]son,washing,arm[- ]?b[aå]nd
aircon,camescope,brancher,wäschetrockner,mas?chine (d?[àa]? ?)c[àa][f]+[eéè],[ck][ao]+r(d|te?),sat[ -]?nav,,lap[ -]?top,hudl,opvaskemakine,fernseher,blen?der,ice,køle,sega,video[- ]?(game|sp[ie]+l),buskrydder,hår?tørrer?,høre[- ]?(telefoner|bøffer|tlf),varme?,caisson de grave,\biron,ke[tsd]+(le|el),mower,christmas,,musi[ckqz](ue|al|iek)?,\boral,floss(er)?,endoscope,dab,bohren,fax,proje[ck]t[oeø]u?r,remote,boîte,knitting,sc?hrea?dder(er)?,anrufbeantworter,\bmes\b,parleurs?,fitness,,t[eé]l[eé](ph|f)oo?ne?,,,(tr[ae]in|tog),h(enr(y|ietta)),,ch?rono[a-zß-ÿœ]
conditioner,polaroid,c[aâ]ble,wasdroger,mo[chk]+(a|ona),adapt[eo]u?r,satellite,,,i[- ]?pad,spülmaschine,fjernsyn,centrifuge,ijsblokjes?,kühlschrank,sp[e]+l[- ]?station,,cisaille,,kopfhörer,verwarm,cent[er][er],a? vapore,kogekande,plæneklipper,dimmer,,piano,\bpied,hygiene,hearing,diabetrachter,boor,imprimante,slide,t[eé]l[ée]co[m]+ande?,chrome[ -]?cast,machine ([àa] )?coudre,hakselaar,b[aé]b[yé],actifry,sound[- ]?bar,golf[- ]?(cart|buggy|(kølle)?vogn)?,,intercom,,,afstandsbediening,hoover,,fit[- ]?(bit|ness)
cooler,re[ck]order,chargeu?r,spinner,n?e[sx]+pre[s]+o,blue?[ -]?tooth,tom[ -]?tom,,,kindle,vaatwasser,monitor,cuisin,ismaskine,r[eé]frig[eé]rat,troosten,,clipper,,ohrstöpsel,,cha[îi]ne,damp(er|station|stryg|jern),samovar,rasenmäher,éclair[a-zß-ÿœ]+,,s[yi]nth([eé][st]i[sz]eu?r)?,barber,ir+igat[eo]r,heat[- ]?pad,dis[ck][ -]?man,boremaskine,(ink|la[sz]er)jet,viewer,,cin[eé]ma,n[äa][äah]i?ma[cs]+hine,,balance,ægge?,speakers?,h(ome|eim)[- ]?trainer,,,,,auto,i?robot,,horloge
d[ée]s?humidi([a-zß-ÿœ]+),video,convertisseur,droogkast,per[ck]olat[a-zß-ÿœ]+,boa?rd,,,,tablet,,sch[ei]rm,entsafter,,,video[- ]?game,,cutter,,,,de[sc]k,fer(ro)?,teas[- ]?ma(de|id),tondeuse( [aà] gazon)?,fakkel,,schlagzeug?,bigoudis,körperpflege,nebuli[sz]er?,funkgerät,brecher,printer,films?,,d[eé]codeu?r,omsyning,,barometer,backautomat,spi?eler,laufband,,,,,camion,kruimeldief,,minute[a-zß-ÿœ]+
extract([a-zß-ÿœ]+),,extension,dry(er|ing),senseo,cd[ -]?(rom)?,,,,,,screen,(grater?|rape),,,video[- ]?sp[ie]+l,,débrou[s]+ailleuse,,,,destinataire,plancha,vandkoger,,feu,,squeezebox,brush,spa,personvægt,gh?e[t]+o,broyeur,sc[aá][n]+er,movie,,digi[- ]?box,overlock(er|ing)?,,blæser,bagemaskine,spre[kc]h?ers?,løbe(hjul|bånd)?,,,,,car\b,roomba,,mirar
humidi([a-zß-ÿœ]+),,fiche,,ta[s]+i[m]+o,conduire,,,,,,t[eé]l[eé]vis(ion|eur),grind(er|ing)?,,,wii\b,,gar[dt]en,,,,dj,strij?kijzer,wasserkocher,,lampe?s?( d[eé]s? )?,,tambours?,cheveux,tand(børste|r?en),pèse-personne,i[ -]?pod,burineur,,,,doos,remalladora,,(calculator|taschenrechner),balance,woofer,motionscykel,,,,,dr[oô]h?ne,sauger,,montre
l[uü](ch|f)t([a-zß-ÿœ]+),,forlænger,,,conférencier,,,,,,,handrührgerät,,,x[- ]?box,,gr[aæ][s]+,,,,draaibaar,stryge?,,,lant(aa|e)rn,,toetsenbord,clippers?,tooth[- ]?(brush)?,scales?,mp[- ]?(3|4),clout?euse,,,,enregistreur,s[eo]wing,,d[eé]tect[eo]u?r,barbecue,,oefening,,,,,eisenbahn,shark,,orologio
purifi([a-zß-ÿœ]+),,g[ée]n[eé]rat(eur|or),,,conseil,,,,,,,ju(icer?|s),,,,,have(saks|traktor)?,,,,drehscheibe,vapeur,,,leucht(e|ung),,organ,coiffeur,water[- ]?pic?k,tensiomètre,radio,coupe,,,,fernbedienung,surjet,,dampf,blikopener,,rowing,,,,,ferngesteuertes,st[oø]vsugere?,,r[eé]veil
ventilat([a-zß-ÿœ]+),,genopladlig,,,diktiergerät,,,,,,,kitchen,,,,,(leaf|løv),,,,drejeskive,,,,li[cg]hts?,,,comb,zahnbürste,th?ermo(m[eè])?t(er|re),transistor,drehbank,,,,free[- ]?sat,symaskine,,deken,boiler,,scooter,,,,,fjernstyret,tapis,,reloj
zuiveraar,,kabel,,,dis(que|[ck])( dur|ette)?,,,,,,,liqu(idiser|efier),,,,,motoculteur,,,,empfänger,,,,lueur,,,curl(ers?|ing),,ultra(sound|lyd ),walk[ -]?man,dremel,,,,joueur,sys?mask?ine,,deurbel,brødmaskine,,treadmill,,,,,game,va[cxk](uum)?,,sveglia
,,lade(r|boks|station|ledning|ning|gerät),,,docking,,,,,,,maker,,,,,s?trimmer,,,,enregistreu?r,,,,lumi[A-zÀ-ÿ]+,,,epilierer,,hörgerät,,drill,,,,kino,tagliacuci,,diffuser,brulee,,trottinette,,,,,horse,vakumier,,timer?
,,mehrfachsteckdose,,,doneren,,,,,,,ménager?,,,,,s[ée]cateur,,,,forstærker,,,,lustre(rie)?,,,fac(e|ial),,inhal(ato|e)r,,driver,,,,magn[ée]to(phone|scope),,,door[- ]?bell,casserole,,v[eé]lo,,,,,hoverboard,,,uhr
