id,problem,fault_type
rcint_47386,Not working Motor burnt out.  Unable to repair.,Motor
rcint_44137,Unsafe power cable   New part needed,Cable/cord
rcint_47424,not working loose cable stripped down and reassembled,Cable/cord
rcint_37942,Loose contact,Internal damage
rcint_47431,makes a lot of noise but doesn't suck! Blocked filter Cleaner filters,Filter
rcint_47434,Doesn't clean anything Filter blocked Cleaner filter,Filter
rcint_47440,"intermittent power loss broken mains lead shortened cable, advised better care of cable",Cable/cord
rcint_37832,"Works on kow suction, whirs only on high suction Motor overheating slowing down",Motor
rcint_37772,"Unable to switch on Jam switch mechanism actuator Stripped down, found button cap had broken off, reassembled and re-glued button cap.",Button/switch
rcint_37879,Doesn't switch on Broken cable Cut back  cable and replaced mains plug,Cable/cord
rcint_47473,No suction - blockage? Tube blocked with dust Unblocked tube,Blockage
rcint_43537,"Not working Faulty switch and broken conductor (live) Cut off faulty cable and reconnected, bypassed faulty switch.",Cable/cord
rcint_37906,Doesn't switch on Bad cable Removed cable break by shortening cable.,Cable/cord
rcint_47480,Not sucking through extension hose but OK upright No suction through extension hose or attachments No idea what I did but it worked!,Blockage
rcint_47490,Poor suction Filter old and clogged up Advised customer to put in a new filter.  Otherwise working fine.,Filter
rcint_47493,Not working Requires new motor brush. Repairer will source part and replace next time.,Motor
rcint_43766,Not working Needed new brushes for motor.  Ordered. They were adapted to fit.,Motor
rcint_37739,No suction Emptied waste container and 'knocked out' filters.,Filter
rcint_37875,Erratic motor Filter clogged  Found filter clogged. Advised how to clean filter,Filter
rcint_47516,Ran out of time. Hose and other parts need replacing  Come back next time.  Not enough time. Can't delete this entry on iPad.,Poor data
rcint_44141,Not sucking up properly,Blockage
rcint_44223,Doesn't work Front bar wiring Repaired front bar wiring.,Internal damage
rcint_47519,Stuck on high mode.,Poor data
rcint_38055,"Motor surges Fully checked, no defect found. Sucxtion level and motor checked - all seems OK.  No fault found.",Other
rcint_43820,won't switch on  Probably duff mains controller - owner to investigate,Other
rcint_38247,Split hose split hise,Hose/tube/pipe
rcint_37850,Sparkes when switched on Motor sparking,Motor
rcint_38278,Wont switch on Yes Loose connections on the switch,Button/switch
rcint_47554,Spindal not turning Contacts tarnished,Internal damage
rcint_37791,Not sucking as well as it used to Not directly!  Gave it a good clean - working better than it was,Filter
rcint_37918,brush head doesn't rotate brush head doesn't rotate Disassembled and replaced two broken wires in the brush head joint.,Brush
