203,102,104,105,108,109,111,112,114,201,202,204,205,301,302,303,304,305,306,401,402,403,404,405,406,408,506,601,701,702,703,801,901
c[àa][f]+[eéè]ti[eéè]re,spülmaschine,washing,dryer,refrigerator,freez,humidi([a-zß-ÿœ]+),d[ée]s?humidi([a-zß-ÿœ]+),micro[- ]?(wave|ondes?|golf(oven)?|welle),agrafeuse,((([àa]|de) )?cuis(eur|ine)),va[cx](uum)?,(ped|man)i[ck][uü]re?,[ck][a]+r(d|te?),desktop,lap[ -]?top,printer,t[eé]l[eé](ph|f)oo?ne?,mobile,afstandsbediening,radio,anlage,[ck]ontro[l]+(ed?u?r?)?,speakers?,[ck]amera,\btv,lampe?,[ck]ompressor,\bours\b,x[- ]?box,bi(ke|cy),thermom[eè](er|tre),thermostat
[ck][oaà]+[f]+i?[eéè]+([a-zß-ÿœ]+)?,dishwasher,wasmachine,tumble,kühlschrank,ice,[ck]lima([a-zß-ÿœ]+),,magnetron,anrufbeantworter,\bfer\b,aspirateur,[ck]osmeti[ck],adapt[eo]u?r,\bpc,book|livre,sc[aá][n]+er,answer,([a-zß-ÿœ]+[ -]?)?(phone|fon),fernbedienung,transistor,boom[ -]?box,barre de son,spi?eler,[pf]h?oto,t[eé]l[eé]vision,leuchte,blattgebläse,afstandsbediening,play[- ]?station,exercise,blood,smoke[- ]?alarm
mas?chine (d?[àa]? ?)c[àa][f]+[eéè],vaatwasser,waschmaschine,wasdroger,fridge,ijsblokjes?,purifi([a-zß-ÿœ]+),,,b[aé]b[yé],\bmes\b,kruimeldief,[eé]pilat[eo]u?r,audio,computer,tablet,[pf]h?oto,landline,fon[a-zß-ÿœ]+,télécommande,cd|dvd,cent[er][er],bioscoop,spre[kc]h?ers?,[ck]am[ -]?[ck]order,monitor,\bled\b,blazer,auto,sp[e]+l[- ]?station,fiets,ultrasound,
per[ck]olat[a-zß-ÿœ]+,afwasmachine,lave[- ]?linge,wäschetrockner,koelkast,eiswürfel,conditioner,,,blanket,backautomat,carpet,\bongle,blue?[ -]?tooth,to[wu]e?r\b,i[- ]?pad,jet\b,,handy,remote,dis[ck][ -]?man,center,blue?[ -]?ray,woofer,re[ck]order,screen,blitz,blower,be[ea]r,wii\b,fitness,,
n?e[sx]+pre[s]+o,geschirrspüler,machine à laver,sèche[- ]?linge,frigo,glaçons,aircon,,,chauffage,blender,i?robot,\boral,boa?rd,,kindle,fax,,,control,i[ -]?pod,cha[îi]ne,boîte,sound(bar)?,video,display,candle,bohren,car\b,nintendo,golf[- ]?(cart|buggy|vogn),,
senseo,lave[- ]?vaisselle,,,,,(be|ont?)vochtiger,,,couverture,boiler,roomba,\bpied,cd[ -]?(rom)?,,e[ -]?(book|reader),drucker,,,head[- ]?phones?,mp[- ]?3,de[sc]k,chrome[ -]?cast,,,fernseher,chandelier,boor,doll,sega,laufband,,
mo[ch]+ona,,,,,,l[uü](ch|f)t([a-zß-ÿœ]+),,,d[eé]tect[eo]u?r,chopper,tapis,bigoudis,chargeu?r,,\bfire,[ck]opier(er)?,,,ear[ -]?(buds?|plugs?),walk[ -]?man,juke[ -]?box,cin[eé]ma,,,sch[ei]rm,christmas,brecher,drone,video[- ]?game,rowing,,
ke(tt|ss)(le|el),,,,,,ventilat([a-zß-ÿœ]+),,,dampf,cooker,hoover,brosse ([àa]? )?dents,conduire,,amazon,,,,air[ -]?pods?,diabetrachter,multimedia,d[eé]codeu?r,,,écran,éclair[a-zß-ÿœ]+,broyeur,eisenbahn,video[- ]?sp[ie]+l,scooter,,
boiler,,,,,,extract([a-zß-ÿœ]+),,,deken,cr[ée]pe?(i[èe]re|[èe])?,h(enr(y|ietta)),cheveux,conférencier,,bærbar,,,,head[- ]?set,sat[ -]?nav,stereo,doos,,,,fakkel,clipper,en chantant,[ck]onsol[ea],h(ome|eim)[- ]?trainer,,
bouilloire,,,,,,zuiveraar,,,deurbel,croque,d(irt|ust)[ -]?buster,clippers?,conseil,,(note|think|idea)pad,,,,casque,gps|gsm|pda|nuvi,systee?m,drohne,,,,feu,cloueuse,en parlant,troosten,v[eé]lo,,
